U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.0004693 ; 5.8657975 ; 7.038957
1.1766667 ; 0.0003789 ; 4.7362075 ; 5.5729375
1.1533333 ; 0.0003373 ; 4.2165 ; 4.86303
1.13 ; 0.0002963 ; 3.70355 ; 4.1850115
1.1066667 ; 0.0002512 ; 3.1393825 ; 3.47425
1.0833333 ; 0.0002047 ; 2.5590738 ; 2.7723299
1.06 ; 0.0001564 ; 1.9547475 ; 2.0720323
1.0366667 ; 0.0001047 ; 1.308345 ; 1.3563176
1.0133333 ; 4.99e-05 ; 0.6241167 ; 0.6324383
0.99 ; -6.7e-06 ; -0.0833957 ; -0.0825617
0.9666667 ; -6.96e-05 ; -0.8704369 ; -0.8414223
0.9433333 ; -0.0001366 ; -1.7069925 ; -1.6102629
0.92 ; -0.0002041 ; -2.5512537 ; -2.3471534
0.8966667 ; -0.0002737 ; -3.4214538 ; -3.0679035
0.8733333 ; -0.0003441 ; -4.30183 ; -3.7569315
0.85 ; -0.0004154 ; -5.1928225 ; -4.4138991
0.8266667 ; -0.0004861 ; -6.0763825 ; -5.0231429
0.8033333 ; -0.0005564 ; -6.9551275 ; -5.5872858
0.78 ; -0.0006243 ; -7.8035438 ; -6.0867641
0.7566667 ; -0.0006906 ; -8.6330287 ; -6.5323251
0.7333333 ; -0.0007515 ; -9.3939575 ; -6.8889022
0.71 ; -0.0008107 ; -10.1335513 ; -7.1948214
0.6866667 ; -0.0008625 ; -10.78074 ; -7.4027748
0.6633333 ; -0.0009123 ; -11.4034975 ; -7.56432
0.64 ; -0.0009557 ; -11.9465425 ; -7.6457872
0.6166667 ; -0.0009958 ; -12.4469363 ; -7.6756107
0.5933333 ; -0.0010322 ; -12.902225 ; -7.6553202
0.57 ; -0.0010664 ; -13.3303625 ; -7.5983066
0.5466667 ; -0.001096 ; -13.70005 ; -7.4893607
0.5233333 ; -0.0011273 ; -14.0912125 ; -7.3744012
0.5 ; -0.001145 ; -14.31245 ; -7.156225
0.4766667 ; -0.0011593 ; -14.490775 ; -6.9072694
0.4533333 ; -0.0011778 ; -14.7219 ; -6.673928
0.43 ; -0.0011924 ; -14.905075 ; -6.4091822
0.4066667 ; -0.0012084 ; -15.10465 ; -6.1425577
0.3833333 ; -0.0012197 ; -15.24635 ; -5.8444342
0.36 ; -0.00123 ; -15.3751 ; -5.535036
0.3366667 ; -0.0012424 ; -15.5298875 ; -5.2283955
0.3133333 ; -0.0012523 ; -15.6536875 ; -4.9048221
0.29 ; -0.0012592 ; -15.7402 ; -4.564658
0.2666667 ; -0.001272 ; -15.900175 ; -4.2400467
0.2433333 ; -0.0012775 ; -15.9683875 ; -3.885641
0.22 ; -0.001285 ; -16.0624875 ; -3.5337472
0.1966667 ; -0.0012894 ; -16.1176 ; -3.1697947
0.1733333 ; -0.0012994 ; -16.2425625 ; -2.8153775
0.15 ; -0.0013054 ; -16.3177375 ; -2.4476606
0.1266667 ; -0.001312 ; -16.3997875 ; -2.0773064
0.1033333 ; -0.0013114 ; -16.3931125 ; -1.693955
0.08 ; -0.0013145 ; -16.430775 ; -1.314462
0.0566667 ; -0.0013194 ; -16.49305 ; -0.9346062
0.0333333 ; -0.0013269 ; -16.585825 ; -0.5528608
0.01 ; -0.001334 ; -16.6745125 ; -0.1667451
-0.0133333 ; -0.0013357 ; -16.6966 ; 0.2226213
-0.0366667 ; -0.0013407 ; -16.7587 ; 0.6144857
-0.06 ; -0.0013434 ; -16.7928125 ; 1.0075688
-0.0833333 ; -0.0013468 ; -16.8353 ; 1.4029417
-0.1066667 ; -0.0013446 ; -16.8080125 ; 1.7928547
-0.13 ; -0.0013548 ; -16.9351 ; 2.201563
-0.1533333 ; -0.0013559 ; -16.9482 ; 2.598724
-0.1766667 ; -0.0013629 ; -17.0367625 ; 3.009828
-0.2 ; -0.0013591 ; -16.9886875 ; 3.3977375
