U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.0013246 ; 16.5568875 ; 19.868265
1.1766667 ; 0.0009956 ; 12.4454387 ; 14.6441329
1.1533333 ; 0.0008355 ; 10.4435437 ; 12.0448871
1.13 ; 0.0006798 ; 8.4974812 ; 9.6021538
1.1066667 ; 0.0005273 ; 6.5917513 ; 7.2948714
1.0833333 ; 0.0003814 ; 4.7679875 ; 5.1653198
1.06 ; 0.0002419 ; 3.0243463 ; 3.205807
1.0366667 ; 0.0001103 ; 1.37858 ; 1.4291279
1.0133333 ; -1.45e-05 ; -0.1814635 ; -0.183883
0.99 ; -0.0001343 ; -1.6787612 ; -1.6619736
0.9666667 ; -0.0002474 ; -3.0922363 ; -2.9891617
0.9433333 ; -0.0003512 ; -4.3903438 ; -4.1415576
0.92 ; -0.0004526 ; -5.6570937 ; -5.2045262
0.8966667 ; -0.000544 ; -6.800395 ; -6.0976875
0.8733333 ; -0.0006314 ; -7.892255 ; -6.8925694
0.85 ; -0.0007124 ; -8.9044863 ; -7.5688133
0.8266667 ; -0.0007865 ; -9.83175 ; -8.12758
0.8033333 ; -0.0008515 ; -10.6435375 ; -8.5503085
0.78 ; -0.0009107 ; -11.3833188 ; -8.8789886
0.7566667 ; -0.0009646 ; -12.0572163 ; -9.1232936
0.7333333 ; -0.0010081 ; -12.6015 ; -9.2411
0.71 ; -0.0010485 ; -13.1064 ; -9.305544
0.6866667 ; -0.0010806 ; -13.5079375 ; -9.2754504
0.6633333 ; -0.0011088 ; -13.86 ; -9.1938
0.64 ; -0.0011302 ; -14.1269875 ; -9.041272
0.6166667 ; -0.0011534 ; -14.41745 ; -8.8907608
0.5933333 ; -0.0011678 ; -14.5972625 ; -8.6610424
0.57 ; -0.0011804 ; -14.7553125 ; -8.4105281
0.5466667 ; -0.0011921 ; -14.9013625 ; -8.1460782
0.5233333 ; -0.0012061 ; -15.075675 ; -7.8896032
0.5 ; -0.0012127 ; -15.159075 ; -7.5795375
0.4766667 ; -0.0012246 ; -15.3069125 ; -7.296295
0.4533333 ; -0.0012308 ; -15.3849375 ; -6.974505
0.43 ; -0.001243 ; -15.5381 ; -6.681383
0.4066667 ; -0.0012419 ; -15.5231375 ; -6.3127426
0.3833333 ; -0.00125 ; -15.62545 ; -5.9897558
0.36 ; -0.0012562 ; -15.702475 ; -5.652891
0.3366667 ; -0.0012593 ; -15.7415 ; -5.2996383
0.3133333 ; -0.0012681 ; -15.85115 ; -4.9666937
0.29 ; -0.0012717 ; -15.896125 ; -4.6098762
0.2666667 ; -0.0012722 ; -15.902425 ; -4.2406467
0.2433333 ; -0.0012758 ; -15.94765 ; -3.8805948
0.22 ; -0.001281 ; -16.012175 ; -3.5226785
0.1966667 ; -0.001285 ; -16.062275 ; -3.1589141
0.1733333 ; -0.0012861 ; -16.0761625 ; -2.7865348
0.15 ; -0.0012903 ; -16.1293625 ; -2.4194044
0.1266667 ; -0.0012945 ; -16.1811125 ; -2.0496076
0.1033333 ; -0.001295 ; -16.18795 ; -1.6727548
0.08 ; -0.0012969 ; -16.2116375 ; -1.296931
0.0566667 ; -0.0013011 ; -16.2635125 ; -0.921599
0.0333333 ; -0.0013018 ; -16.2725875 ; -0.5424196
0.01 ; -0.0013076 ; -16.345175 ; -0.1634517
-0.0133333 ; -0.0013081 ; -16.35115 ; 0.2180153
-0.0366667 ; -0.0013067 ; -16.333675 ; 0.5989014
-0.06 ; -0.0013139 ; -16.42335 ; 0.985401
-0.0833333 ; -0.0013131 ; -16.4140125 ; 1.3678344
-0.1066667 ; -0.0013109 ; -16.386 ; 1.74784
-0.13 ; -0.0013173 ; -16.46685 ; 2.1406905
-0.1533333 ; -0.0013184 ; -16.4804875 ; 2.5270081
-0.1766667 ; -0.0013183 ; -16.47895 ; 2.9112812
-0.2 ; -0.0013276 ; -16.5947875 ; 3.3189575
