U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.0013394 ; 16.74265 ; 20.09118
1.1766667 ; 0.0010934 ; 13.6676375 ; 16.0822535
1.1533333 ; 0.0008089 ; 10.1115188 ; 11.6619516
1.13 ; 0.0005239 ; 6.5482887 ; 7.3995663
1.1066667 ; 0.0002765 ; 3.4565912 ; 3.8252943
1.0833333 ; 6.74e-05 ; 0.8422179 ; 0.9124027
1.06 ; -0.0001071 ; -1.3386975 ; -1.4190193
1.0366667 ; -0.000248 ; -3.0994525 ; -3.2130991
1.0133333 ; -0.0003606 ; -4.5070625 ; -4.5671567
0.99 ; -0.0004494 ; -5.6171475 ; -5.560976
0.9666667 ; -0.0005203 ; -6.5031538 ; -6.286382
0.9433333 ; -0.000576 ; -7.2005738 ; -6.7925412
0.92 ; -0.0006253 ; -7.8164687 ; -7.1911512
0.8966667 ; -0.0006611 ; -8.264375 ; -7.4103896
0.8733333 ; -0.0006881 ; -8.6015025 ; -7.5119788
0.85 ; -0.0007232 ; -9.0403312 ; -7.6842816
0.8266667 ; -0.0007477 ; -9.3466063 ; -7.7265278
0.8033333 ; -0.0007702 ; -9.6271275 ; -7.7337924
0.78 ; -0.0007891 ; -9.8639013 ; -7.693843
0.7566667 ; -0.0008041 ; -10.05113 ; -7.605355
0.7333333 ; -0.0008204 ; -10.2549162 ; -7.5202719
0.71 ; -0.0008337 ; -10.4217737 ; -7.3994594
0.6866667 ; -0.0008453 ; -10.5662125 ; -7.2554659
0.6633333 ; -0.0008534 ; -10.6672237 ; -7.0759251
0.64 ; -0.0008633 ; -10.791685 ; -6.9066784
0.6166667 ; -0.0008764 ; -10.9550287 ; -6.7556011
0.5933333 ; -0.0008819 ; -11.0233563 ; -6.5405247
0.57 ; -0.0008925 ; -11.1558712 ; -6.3588466
0.5466667 ; -0.0008941 ; -11.1760137 ; -6.1095542
0.5233333 ; -0.000901 ; -11.262775 ; -5.8941856
0.5 ; -0.0009077 ; -11.3461025 ; -5.6730512
0.4766667 ; -0.0009174 ; -11.46757 ; -5.4662084
0.4533333 ; -0.0009199 ; -11.4987338 ; -5.2127593
0.43 ; -0.0009262 ; -11.5776812 ; -4.9784029
0.4066667 ; -0.0009339 ; -11.6737275 ; -4.7473158
0.3833333 ; -0.0009293 ; -11.6160875 ; -4.4528335
0.36 ; -0.0009376 ; -11.7201537 ; -4.2192553
0.3366667 ; -0.0009419 ; -11.7740225 ; -3.9639209
0.3133333 ; -0.0009455 ; -11.8190462 ; -3.7033012
0.29 ; -0.0009483 ; -11.8536912 ; -3.4375705
0.2666667 ; -0.0009487 ; -11.8583587 ; -3.162229
0.2433333 ; -0.0009521 ; -11.9012538 ; -2.8959717
0.22 ; -0.0009559 ; -11.9487638 ; -2.628728
0.1966667 ; -0.0009579 ; -11.9734 ; -2.3547687
0.1733333 ; -0.0009618 ; -12.0223238 ; -2.0838694
0.15 ; -0.0009606 ; -12.0077063 ; -1.8011559
0.1266667 ; -0.0009636 ; -12.0454025 ; -1.525751
0.1033333 ; -0.0009663 ; -12.0785612 ; -1.248118
0.08 ; -0.0009668 ; -12.08541 ; -0.9668328
0.0566667 ; -0.0009676 ; -12.0947513 ; -0.6853692
0.0333333 ; -0.0009715 ; -12.1434887 ; -0.404783
0.01 ; -0.0009779 ; -12.223665 ; -0.1222366
-0.0133333 ; -0.0009734 ; -12.1672638 ; 0.1622302
-0.0366667 ; -0.0009737 ; -12.1711962 ; 0.4462772
-0.06 ; -0.0009765 ; -12.2060512 ; 0.7323631
-0.0833333 ; -0.0009834 ; -12.2921 ; 1.0243417
-0.1066667 ; -0.0009824 ; -12.2799375 ; 1.30986
-0.13 ; -0.0009846 ; -12.3080537 ; 1.600047
-0.1533333 ; -0.000988 ; -12.3504013 ; 1.8937282
-0.1766667 ; -0.000991 ; -12.3874437 ; 2.1884484
-0.2 ; -0.0009872 ; -12.3404913 ; 2.4680983
