U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.0001719 ; 2.1481487 ; 2.5777785
1.1766667 ; 0.0001342 ; 1.6776675 ; 1.9740554
1.1533333 ; 0.0001103 ; 1.3788988 ; 1.5903299
1.13 ; 8.59e-05 ; 1.073881 ; 1.2134855
1.1066667 ; 6.11e-05 ; 0.7634494 ; 0.844884
1.0833333 ; 3.57e-05 ; 0.4458416 ; 0.4829951
1.06 ; 9.4e-06 ; 0.1175187 ; 0.1245698
1.0366667 ; -1.91e-05 ; -0.238374 ; -0.2471144
1.0133333 ; -5.08e-05 ; -0.6353721 ; -0.6438438
0.99 ; -8.53e-05 ; -1.0663351 ; -1.0556718
0.9666667 ; -0.0001235 ; -1.5438687 ; -1.4924065
0.9433333 ; -0.000167 ; -2.0873575 ; -1.9690739
0.92 ; -0.000214 ; -2.6746575 ; -2.4606849
0.8966667 ; -0.0002657 ; -3.320635 ; -2.9775027
0.8733333 ; -0.0003213 ; -4.016775 ; -3.5079835
0.85 ; -0.0003815 ; -4.7684013 ; -4.0531411
0.8266667 ; -0.0004413 ; -5.51646 ; -4.5602736
0.8033333 ; -0.0005043 ; -6.3035475 ; -5.0638498
0.78 ; -0.0005676 ; -7.0950437 ; -5.5341341
0.7566667 ; -0.0006296 ; -7.8693775 ; -5.9544956
0.7333333 ; -0.000691 ; -8.6371837 ; -6.3339347
0.71 ; -0.0007494 ; -9.3675825 ; -6.6509836
0.6866667 ; -0.0008048 ; -10.0603438 ; -6.9081027
0.6633333 ; -0.0008565 ; -10.7061688 ; -7.1017586
0.64 ; -0.0009026 ; -11.282725 ; -7.220944
0.6166667 ; -0.000938 ; -11.72506 ; -7.2304537
0.5933333 ; -0.0009741 ; -12.1757325 ; -7.2242679
0.57 ; -0.0010008 ; -12.5105025 ; -7.1309864
0.5466667 ; -0.0010294 ; -12.86755 ; -7.0342607
0.5233333 ; -0.0010488 ; -13.1098875 ; -6.8608411
0.5 ; -0.0010646 ; -13.3076625 ; -6.6538312
0.4766667 ; -0.0010783 ; -13.4785875 ; -6.4247934
0.4533333 ; -0.0010926 ; -13.6575625 ; -6.1914283
0.43 ; -0.0011089 ; -13.8616625 ; -5.9605149
0.4066667 ; -0.0011099 ; -13.873525 ; -5.6419002
0.3833333 ; -0.0011208 ; -14.01025 ; -5.3705958
0.36 ; -0.0011249 ; -14.060775 ; -5.061879
0.3366667 ; -0.0011329 ; -14.1607625 ; -4.7674567
0.3133333 ; -0.0011432 ; -14.2894125 ; -4.4773492
0.29 ; -0.0011365 ; -14.205975 ; -4.1197327
0.2666667 ; -0.0011448 ; -14.3099625 ; -3.81599
0.2433333 ; -0.0011437 ; -14.2964375 ; -3.4787998
0.22 ; -0.001153 ; -14.412225 ; -3.1706895
0.1966667 ; -0.0011657 ; -14.571425 ; -2.8657136
0.1733333 ; -0.0011649 ; -14.560725 ; -2.523859
0.15 ; -0.001065 ; -13.3129375 ; -1.9969406
0.1266667 ; -0.0010687 ; -13.3589125 ; -1.6921289
0.1033333 ; -0.0010716 ; -13.394925 ; -1.3841422
0.08 ; -0.0010744 ; -13.4297375 ; -1.074379
0.0566667 ; -0.0010753 ; -13.44085 ; -0.7616482
0.0333333 ; -0.0010774 ; -13.4675 ; -0.4489167
0.01 ; -0.0010815 ; -13.5191625 ; -0.1351916
-0.0133333 ; -0.0010815 ; -13.5185125 ; 0.1802468
-0.0366667 ; -0.0010822 ; -13.5280125 ; 0.4960271
-0.06 ; -0.0010858 ; -13.5719875 ; 0.8143193
-0.0833333 ; -0.0010878 ; -13.597725 ; 1.1331438
-0.1066667 ; -0.0010882 ; -13.6023 ; 1.450912
-0.13 ; -0.0010924 ; -13.65495 ; 1.7751435
-0.1533333 ; -0.0010906 ; -13.6323375 ; 2.0902918
-0.1766667 ; -0.0010959 ; -13.6986375 ; 2.4200926
-0.2 ; -0.0010921 ; -13.6518125 ; 2.7303625
