U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.0016649 ; 20.8118375 ; 24.974205
1.1766667 ; 0.0009455 ; 11.8182562 ; 13.9061482
1.1533333 ; 0.0007314 ; 9.142985 ; 10.5449094
1.13 ; 0.0005438 ; 6.7977675 ; 7.6814773
1.1066667 ; 0.0003807 ; 4.7582825 ; 5.2658326
1.0833333 ; 0.0002361 ; 2.95165 ; 3.1976208
1.06 ; 0.0001112 ; 1.389795 ; 1.4731827
1.0366667 ; 7.9e-06 ; 0.0992689 ; 0.1029088
1.0133333 ; -8.02e-05 ; -1.0020675 ; -1.0154284
0.99 ; -0.0001565 ; -1.9566913 ; -1.9371243
0.9666667 ; -0.0002187 ; -2.733175 ; -2.6420692
0.9433333 ; -0.0002693 ; -3.3666913 ; -3.1759121
0.92 ; -0.0003116 ; -3.894765 ; -3.5831838
0.8966667 ; -0.0003498 ; -4.3723275 ; -3.9205203
0.8733333 ; -0.0003837 ; -4.7965137 ; -4.1889553
0.85 ; -0.0004108 ; -5.1346213 ; -4.3644281
0.8266667 ; -0.0004379 ; -5.4734425 ; -4.5247125
0.8033333 ; -0.000462 ; -5.77456 ; -4.6388965
0.78 ; -0.0004839 ; -6.048345 ; -4.7177091
0.7566667 ; -0.000506 ; -6.3255663 ; -4.7863451
0.7333333 ; -0.0005252 ; -6.5643925 ; -4.8138878
0.71 ; -0.0005449 ; -6.8117538 ; -4.8363452
0.6866667 ; -0.000562 ; -7.0252675 ; -4.824017
0.6633333 ; -0.0005766 ; -7.2076575 ; -4.7810795
0.64 ; -0.0005938 ; -7.4222275 ; -4.7502256
0.6166667 ; -0.0006098 ; -7.6220275 ; -4.7002503
0.5933333 ; -0.0006256 ; -7.8203925 ; -4.6400995
0.57 ; -0.0006376 ; -7.969395 ; -4.5425551
0.5466667 ; -0.0006502 ; -8.1271838 ; -4.4428604
0.5233333 ; -0.0006661 ; -8.3264925 ; -4.3575311
0.5 ; -0.0006754 ; -8.44218 ; -4.22109
0.4766667 ; -0.000687 ; -8.5873575 ; -4.0933071
0.4533333 ; -0.0006992 ; -8.7399288 ; -3.962101
0.43 ; -0.0007072 ; -8.84032 ; -3.8013376
0.4066667 ; -0.0007168 ; -8.9600075 ; -3.6437364
0.3833333 ; -0.0007257 ; -9.0715375 ; -3.4774227
0.36 ; -0.0007335 ; -9.1688 ; -3.300768
0.3366667 ; -0.0007412 ; -9.2644613 ; -3.1190353
0.3133333 ; -0.0007465 ; -9.3317287 ; -2.9239417
0.29 ; -0.0007485 ; -9.3562413 ; -2.71331
0.2666667 ; -0.0007526 ; -9.4069775 ; -2.5085273
0.2433333 ; -0.0007567 ; -9.4590725 ; -2.3017076
0.22 ; -0.0007609 ; -9.511565 ; -2.0925443
0.1966667 ; -0.0007609 ; -9.5116975 ; -1.8706338
0.1733333 ; -0.0007625 ; -9.530755 ; -1.6519975
0.15 ; -0.0007657 ; -9.5714638 ; -1.4357196
0.1266667 ; -0.0007648 ; -9.5599925 ; -1.2109324
0.1033333 ; -0.0007641 ; -9.5511213 ; -0.9869492
0.08 ; -0.0007631 ; -9.5392038 ; -0.7631363
0.0566667 ; -0.0007641 ; -9.5508112 ; -0.5412126
0.0333333 ; -0.0007636 ; -9.545485 ; -0.3181828
0.01 ; -0.0007606 ; -9.507875 ; -0.0950787
-0.0133333 ; -0.0007594 ; -9.4919412 ; 0.1265592
-0.0366667 ; -0.00076 ; -9.5005525 ; 0.3483536
-0.06 ; -0.0007562 ; -9.452765 ; 0.5671659
-0.0833333 ; -0.0007586 ; -9.4825662 ; 0.7902139
-0.1066667 ; -0.0007569 ; -9.4609075 ; 1.0091635
-0.13 ; -0.0007564 ; -9.4552562 ; 1.2291833
-0.1533333 ; -0.000752 ; -9.4005575 ; 1.4414188
-0.1766667 ; -0.0007523 ; -9.403595 ; 1.6613018
-0.2 ; -0.0007524 ; -9.4045075 ; 1.8809015
