U[V] ; I[A] ; j[mA/cm^2] ; P[mW/cm^2]
1.2 ; 0.0003063 ; 4.37635 ; 5.25162
1.1766667 ; 0.0002768 ; 3.9538014 ; 4.6523063
1.1533333 ; 0.0002521 ; 3.6007457 ; 4.1528601
1.13 ; 0.0002238 ; 3.1969171 ; 3.6125164
1.1066667 ; 0.0001944 ; 2.7765014 ; 3.0726616
1.0833333 ; 0.0001649 ; 2.3555286 ; 2.5518226
1.06 ; 0.0001354 ; 1.9349143 ; 2.0510091
1.0366667 ; 0.000106 ; 1.5143357 ; 1.5698614
1.0133333 ; 7.67e-05 ; 1.0955066 ; 1.1101133
0.99 ; 4.64e-05 ; 0.6627383 ; 0.6561109
0.9666667 ; 1.61e-05 ; 0.2295294 ; 0.2218784
0.9433333 ; -1.55e-05 ; -0.2208911 ; -0.208374
0.92 ; -4.7e-05 ; -0.6721274 ; -0.6183572
0.8966667 ; -7.99e-05 ; -1.1413119 ; -1.0233763
0.8733333 ; -0.0001125 ; -1.6066657 ; -1.4031547
0.85 ; -0.0001466 ; -2.0942943 ; -1.7801501
0.8266667 ; -0.0001811 ; -2.58653 ; -2.1381981
0.8033333 ; -0.0002145 ; -3.0639686 ; -2.4613881
0.78 ; -0.0002497 ; -3.5671471 ; -2.7823748
0.7566667 ; -0.0002832 ; -4.04556 ; -3.0611404
0.7333333 ; -0.0003173 ; -4.5324186 ; -3.3237736
0.71 ; -0.0003515 ; -5.0218429 ; -3.5655084
0.6866667 ; -0.0003848 ; -5.4972757 ; -3.774796
0.6633333 ; -0.0004171 ; -5.9582229 ; -3.9522878
0.64 ; -0.0004489 ; -6.4126757 ; -4.1041125
0.6166667 ; -0.0004789 ; -6.8415057 ; -4.2189285
0.5933333 ; -0.0005097 ; -7.2820071 ; -4.3206576
0.57 ; -0.0005386 ; -7.6948443 ; -4.3860612
0.5466667 ; -0.0005649 ; -8.0702957 ; -4.4117617
0.5233333 ; -0.0005919 ; -8.4557029 ; -4.4251512
0.5 ; -0.0006156 ; -8.7946329 ; -4.3973164
0.4766667 ; -0.0006389 ; -9.1272957 ; -4.3506776
0.4533333 ; -0.0006574 ; -9.3913229 ; -4.2573997
0.43 ; -0.0006782 ; -9.68885 ; -4.1662055
0.4066667 ; -0.0006973 ; -9.96123 ; -4.0509002
0.3833333 ; -0.0007133 ; -10.1904386 ; -3.9063348
0.36 ; -0.0007284 ; -10.4055171 ; -3.7459862
0.3366667 ; -0.00074 ; -10.5708714 ; -3.55886
0.3133333 ; -0.0007538 ; -10.7692143 ; -3.3743538
0.29 ; -0.0007615 ; -10.8786286 ; -3.1548023
0.2666667 ; -0.0007722 ; -11.0317771 ; -2.9418072
0.2433333 ; -0.0007805 ; -11.1497529 ; -2.7131065
0.22 ; -0.0007884 ; -11.26349 ; -2.4779678
0.1966667 ; -0.000799 ; -11.4144757 ; -2.2448469
0.1733333 ; -0.0008053 ; -11.5045086 ; -1.9941148
0.15 ; -0.0008125 ; -11.6070143 ; -1.7410521
0.1266667 ; -0.0008189 ; -11.6987929 ; -1.4818471
0.1033333 ; -0.000822 ; -11.7425357 ; -1.2133954
0.08 ; -0.0008267 ; -11.8099143 ; -0.9447931
0.0566667 ; -0.0008334 ; -11.9057586 ; -0.6746597
0.0333333 ; -0.0008371 ; -11.9580243 ; -0.3986008
0.01 ; -0.0008397 ; -11.99615 ; -0.1199615
-0.0133333 ; -0.0008459 ; -12.0838514 ; 0.161118
-0.0366667 ; -0.0008466 ; -12.0944157 ; 0.4434619
-0.06 ; -0.0008495 ; -12.13549 ; 0.7281294
-0.0833333 ; -0.0008543 ; -12.2043786 ; 1.0170315
-0.1066667 ; -0.0008576 ; -12.2510686 ; 1.3067806
-0.13 ; -0.000862 ; -12.31402 ; 1.6008226
-0.1533333 ; -0.0008647 ; -12.3531057 ; 1.8941429
-0.1766667 ; -0.0008672 ; -12.3886871 ; 2.1886681
-0.2 ; -0.0008717 ; -12.4534229 ; 2.4906846
